Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %,,,,
Amsterdam,Netherlands,EMEA,12/27/2015,Refrigerator,Christopher Hurren,1000,900,10.00%,,,,
Riyadh,Saudi Arabia,EMEA,1/10/2018,Blender,Danny Brooks,50,45,10.00%,,,,
Jerusalem,Israel,EMEA,2/6/2017,Ceiling fan,Neil Tubbs,150,144,4.00%,,,,
Tokyo,Japan,APAC,1/11/2018,Oven,David Gow,500,495,1.00%,,,,
Prague,Czech Republic,EMEA,9/20/2014,Dishwasher,David Stewart,500,425,15.00%,,,,
Riyadh,Saudi Arabia,EMEA,6/28/2018,Coffee grinder,John Craig,70,60,14.29%,,,,
Toronto,Canada,Americas,11/27/2014,Washing Machine,Richard Oliver,800,624,22.00%,,,,
Dubai,UAE,EMEA,8/1/2018,Toaster,Nicholas Timbrell,50,47,6.00%,,,,
Bangalore,India,APAC,11/6/2017,Iron,Francis Walsh,30,29,3.33%,,,,
Buenos Aires,Argentina,Americas,12/11/2016,Blender,Nicola Nathan,50,50,0.00%,,,,
Dublin,Ireland,EMEA,9/16/2017,Microwave,Alison Younger,80,72,10.00%,,,,
Sao Paolo,Brazil,Americas,2/1/2015,Refrigerator,Zoe Munday,1000,580,42.00%,,,,
Madria,Spain,EMEA,5/12/2016,Washing Machine,Paul Long,800,552,31.00%,,,,
Athens,Greece,EMEA,5/12/2015,Coffee grinder,Olivia Reynolds,70,67,4.29%,,,,
Tijuana,Mexico,Americas,6/24/2018,Washing Machine,Gillian Allnutt,800,704,12.00%,,,,
Mexico City,Mexico,Americas,5/20/2015,Refrigerator,Eric Walker,1000,590,41.00%,,,,
New York,USA,Americas,5/16/2014,Iron,Andrew Jones,30,28,6.67%,,,,
Bogota,Columbia,Americas,12/30/2017,Washing Machine,Basil Nolan,800,488,39.00%,,,,
Toronto,Canada,Americas,4/15/2015,Ceiling fan,Richard Oliver,150,134,10.67%,,,,
Ho Chi Minh City,Vietnam,APAC,5/28/2017,Blender,Rosemary Aziz,50,50,0.00%,,,,
New York,USA,Americas,3/31/2017,Refrigerator,Andrew Jones,1000,670,33.00%,,,,
Bangalore,India,APAC,3/16/2014,Ceiling fan,Stuart Sykes,150,149,0.67%,,,,
Tel Aviv,Israel,EMEA,9/17/2018,Oven,Thomas Gordon,500,500,0.00%,,,,
Tel Aviv,Israel,EMEA,7/22/2017,Ceiling fan,Thomas Gordon,150,146,2.67%,,,,
London,UK,EMEA,12/6/2018,Refrigerator,Damilola Raymond,1000,810,19.00%,,,,
Prague,Czech Republic,EMEA,6/24/2015,Ceiling fan,Christopher Lloyd,150,147,2.00%,,,,
London,UK,EMEA,12/13/2018,Refrigerator,James Neville,1000,730,27.00%,,,,
Bangkok,Thailand,APAC,7/5/2016,Vacuum Cleaner,Mary Mitchell,250,248,0.80%,,,,
Dublin,Ireland,EMEA,12/11/2018,Air conditioner,Alison Younger,700,609,13.00%,,,,
Istanbul,Turkey,EMEA,11/25/2016,Ceiling fan,Chloe Lyons,150,140,6.67%,,,,
Bangalore,India,APAC,2/20/2014,Oven,Francis Walsh,500,500,0.00%,,,,
Cairo,Egypt,EMEA,9/3/2018,Refrigerator,John Barnett,1000,960,4.00%,,,,
Mexico City,Mexico,Americas,7/10/2014,Microwave,Denise Rodgers,80,73,8.75%,,,,
Bangkok,Thailand,APAC,9/10/2016,Air conditioner,Nicole Marshall,700,700,0.00%,,,,
Berlin,Germany,EMEA,2/27/2017,Air conditioner,Jacqueline Clamp,700,672,4.00%,,,,
Kuala Lumpur,Malaysia,APAC,5/22/2017,Air conditioner,Trudi Griffin,700,651,7.00%,,,,
Tijuana,Mexico,Americas,9/14/2014,Ceiling fan,Timothy Younger,150,137,8.67%,,,,
Bogota,Columbia,Americas,6/13/2018,Air conditioner,Philip Mishra,700,651,7.00%,,,,
Shenzhen,China,APAC,4/4/2018,Vacuum Cleaner,Gary Shaw,250,238,4.80%,,,,
Sao Paolo,Brazil,Americas,9/15/2014,Washing Machine,Gary Reynolds,800,696,13.00%,,,,
Tijuana,Mexico,Americas,6/12/2014,Iron,Kevin McLauchlin,30,21,30.00%,,,,
Berlin,Germany,EMEA,11/26/2017,Microwave,Jacqueline Clamp,80,74,7.50%,,,,
Sao Paolo,Brazil,Americas,4/5/2017,Vacuum Cleaner,Stephen Smith,250,228,8.80%,,,,
Amsterdam,Netherlands,EMEA,7/16/2016,Air conditioner,Christopher Hurren,700,644,8.00%,,,,
Ho Chi Minh City,Vietnam,APAC,1/27/2014,Iron,Irene Skiba,30,29,3.33%,,,,
Delhi,India,APAC,7/6/2014,Washing Machine,Francis Hughes,800,656,18.00%,,,,
Rome,Italy,EMEA,10/7/2017,Ceiling fan,Elaine Whitfield,150,149,0.67%,,,,
San Fransisco,USA,Americas,7/10/2018,Ceiling fan,Patricia Sewell,150,147,2.00%,,,,
Jerusalem,Israel,EMEA,12/10/2015,Microwave,Susan Carley,80,78,2.50%,,,,
Bucharest,Romania,EMEA,8/29/2015,Ceiling fan,Jacqueline Todd,150,147,2.00%,,,,
Ho Chi Minh City,Vietnam,APAC,7/4/2015,Dishwasher,Susan Passey,500,360,28.00%,,,,
Tokyo,Japan,APAC,8/26/2018,Blender,Michelle Hunter,50,45,10.00%,,,,
Delhi,India,APAC,3/21/2018,Blender,Roy Johnson,50,43,14.00%,,,,
Bogota,Columbia,Americas,11/21/2014,Microwave,Margaret Buck,80,75,6.25%,,,,
Dublin,Ireland,EMEA,8/3/2015,Blender,Gwyn Taylor,50,36,28.00%,,,,
Buenos Aires,Argentina,Americas,4/27/2016,Washing Machine,Ronald Rowlands,800,448,44.00%,,,,
Madria,Spain,EMEA,1/4/2017,Ceiling fan,Roy Lloyd,150,138,8.00%,,,,
Kansas City,USA,Americas,5/20/2017,Oven,Kirsty Amos,500,500,0.00%,,,,
Istanbul,Turkey,EMEA,1/22/2015,Oven,Cordia Alston,500,495,1.00%,,,,
Amsterdam,Netherlands,EMEA,2/3/2014,Ceiling fan,Christopher Hurren,150,128,14.67%,,,,
Delhi,India,APAC,6/27/2014,Blender,Steven Batty,50,42,16.00%,,,,
Dubai,UAE,EMEA,3/1/2014,Microwave,Rachel Clayton,80,80,0.00%,,,,
Seoul,South Korea,APAC,4/21/2018,Ceiling fan,Rosalind Chandler,150,147,2.00%,,,,
Riyadh,Saudi Arabia,EMEA,2/22/2014,Toaster,Kelly Owen,50,44,12.00%,,,,
Tijuana,Mexico,Americas,5/13/2018,Coffee grinder,Emily Brierley,70,67,4.29%,,,,
Seattle,USA,Americas,4/23/2018,Coffee grinder,Alan Davie,70,67,4.29%,,,,
Tokyo,Japan,APAC,10/28/2016,Dishwasher,Kenneth Bullion,500,460,8.00%,,,,
Moscow,Russia,EMEA,9/19/2015,Oven,May Wilmot,500,495,1.00%,,,,
Prague,Czech Republic,EMEA,8/6/2016,Washing Machine,Edward Khan,800,704,12.00%,,,,
Athens,Greece,EMEA,4/9/2014,Microwave,Mark Lawton,80,60,25.00%,,,,
Kuala Lumpur,Malaysia,APAC,8/7/2018,Oven,Trudi Griffin,500,500,0.00%,,,,
Los Angeles,USA,Americas,1/22/2016,Ceiling fan,Chandrakant Atkins,150,150,0.00%,,,,
Seoul,South Korea,APAC,12/10/2015,Coffee grinder,Mark Towey,70,68,2.86%,,,,
Dubai,UAE,EMEA,10/23/2015,Coffee grinder,Ernie Dyer,70,70,0.00%,,,,
Kuala Lumpur,Malaysia,APAC,11/6/2018,Iron,Stephen MacGregor,30,28,6.67%,,,,
Kuala Lumpur,Malaysia,APAC,6/3/2017,Coffee grinder,Harold Lunn,70,64,8.57%,,,,
Sao Paolo,Brazil,Americas,8/24/2015,Blender,Gary Reynolds,50,38,24.00%,,,,
Toronto,Canada,Americas,12/20/2017,Blender,Alison Storey,50,50,0.00%,,,,
Bangalore,India,APAC,2/21/2015,Dishwasher,Paul Rule,500,465,7.00%,,,,
New York,USA,Americas,11/14/2014,Toaster,Richard Nash,50,44,12.00%,,,,
Bogota,Columbia,Americas,2/28/2014,Toaster,Paul Puri,50,47,6.00%,,,,
Warsaw,Poland,EMEA,1/28/2015,Ceiling fan,Alexandra Wright,150,101,32.67%,,,,
Paris,France,EMEA,11/7/2014,Microwave,Ryan Goad,80,78,2.50%,,,,
Bangalore,India,APAC,2/21/2015,Oven,Stuart Hunter,500,500,0.00%,,,,
Tijuana,Mexico,Americas,2/28/2015,Microwave,Paul Salmon,80,74,7.50%,,,,
Prague,Czech Republic,EMEA,11/27/2017,Coffee grinder,Terence Mirza,70,68,2.86%,,,,
Cairo,Egypt,EMEA,2/11/2014,Dishwasher,Marek Kwiatkowski,500,500,0.00%,,,,
Mexico City,Mexico,Americas,4/4/2018,Refrigerator,Catherine Rahman,1000,720,28.00%,,,,
Toronto,Canada,Americas,2/24/2017,Dishwasher,Richard Oliver,500,480,4.00%,,,,
Los Angeles,USA,Americas,2/16/2014,Toaster,Ellen Lillie,50,43,14.00%,,,,
London,UK,EMEA,6/26/2018,Ceiling fan,Damilola Raymond,150,150,0.00%,,,,
Moscow,Russia,EMEA,1/17/2014,Washing Machine,Zulfiqar Mirza,800,528,34.00%,,,,
Dublin,Ireland,EMEA,3/6/2015,Toaster,Emma Gibbons,50,39,22.00%,,,,
Athens,Greece,EMEA,10/22/2017,Blender,David Walker,50,50,0.00%,,,,
Bangalore,India,APAC,4/23/2016,Oven,Colin Lima,500,500,0.00%,,,,
Prague,Czech Republic,EMEA,11/1/2018,Toaster,Christopher Martin,50,44,12.00%,,,,
Mexico City,Mexico,Americas,10/29/2017,Blender,Brendon Dyer,50,48,4.00%,,,,
Tokyo,Japan,APAC,2/28/2017,Microwave,Steven Douglas,80,72,10.00%,,,,
Bogota,Columbia,Americas,9/2/2015,Blender,Ronald Curtis,50,32,36.00%,,,,
Shanghai,China,APAC,7/18/2017,Air conditioner,Alen Dinan,700,651,7.00%,,,,
Berlin,Germany,EMEA,5/3/2017,Blender,James Whitehead,50,49,2.00%,,,,
Capetown,South Africa,EMEA,12/7/2018,Dishwasher,Marcus Jacob,500,440,12.00%,,,,
Dublin,Ireland,EMEA,6/26/2018,Refrigerator,Andrew Phillips,1000,680,32.00%,,,,
Sydney,Australia,APAC,10/6/2015,Air conditioner,James White,700,637,9.00%,,,,
Birmingham,UK,EMEA,5/25/2014,Toaster,Gustavo Taiwo,50,43,14.00%,,,,
Delhi,India,APAC,6/25/2016,Iron,Tessa Morrow,30,29,3.33%,,,,
Riyadh,Saudi Arabia,EMEA,9/4/2017,Toaster,Victoria Sherwin,50,47,6.00%,,,,
Bogota,Columbia,Americas,8/4/2015,Ceiling fan,David Finnie,150,144,4.00%,,,,
Amsterdam,Netherlands,EMEA,8/23/2015,Vacuum Cleaner,Danny Grant,250,193,22.80%,,,,
Ho Chi Minh City,Vietnam,APAC,1/10/2016,Washing Machine,Michael Rodgers,800,800,0.00%,,,,
Santiago,Chile,Americas,11/28/2015,Air conditioner,Karen Hopewell,700,441,37.00%,,,,
Rome,Italy,EMEA,7/19/2016,Coffee grinder,Steven Bell,70,60,14.29%,,,,
Shenzhen,China,APAC,8/12/2017,Dishwasher,Roger Rust,500,495,1.00%,,,,
Dublin,Ireland,EMEA,8/2/2017,Iron,Alison Younger,30,29,3.33%,,,,
Prague,Czech Republic,EMEA,9/28/2018,Iron,Rachel Blane,30,29,3.33%,,,,
Rome,Italy,EMEA,4/20/2017,Oven,Golam Reid,500,500,0.00%,,,,
Amsterdam,Netherlands,EMEA,1/14/2014,Refrigerator,Christopher Hurren,1000,510,49.00%,,,,
Mexico City,Mexico,Americas,5/11/2015,Washing Machine,James Anthony,800,488,39.00%,,,,
Toronto,Canada,Americas,12/15/2016,Toaster,Nick Blacklock,50,49,2.00%,,,,
Vienna,Austria,EMEA,6/7/2017,Microwave,Daniel Henderson,80,78,2.50%,,,,
Madria,Spain,EMEA,8/13/2018,Blender,Martin Mishra,50,48,4.00%,,,,
Riyadh,Saudi Arabia,EMEA,3/31/2018,Blender,Heather Murray,50,50,0.00%,,,,
Bangkok,Thailand,APAC,10/24/2018,Vacuum Cleaner,Alan Procter,250,250,0.00%,,,,
Athens,Greece,EMEA,7/7/2016,Coffee grinder,Gary Roberts,70,67,4.29%,,,,
Sydney,Australia,APAC,6/8/2018,Air conditioner,Christine Davies,700,693,1.00%,,,,
Shenzhen,China,APAC,7/28/2017,Iron,Ronald Butler,30,27,10.00%,,,,
Amsterdam,Netherlands,EMEA,3/19/2016,Toaster,Julia Ferguson,50,49,2.00%,,,,
Istanbul,Turkey,EMEA,6/3/2015,Washing Machine,Chloe Lyons,800,664,17.00%,,,,
Dublin,Ireland,EMEA,4/26/2016,Washing Machine,Robert Harris,800,648,19.00%,,,,
Kansas City,USA,Americas,10/25/2018,Iron,David Rodrigues,30,29,3.33%,,,,
London,UK,EMEA,11/26/2017,Dishwasher,Claire Brooks,500,475,5.00%,,,,
Dublin,Ireland,EMEA,2/24/2015,Oven,Penelope Norton,500,495,1.00%,,,,
Moscow,Russia,EMEA,12/25/2014,Refrigerator,Dermot Bailey,1000,580,42.00%,,,,
Vienna,Austria,EMEA,11/14/2017,Blender,Raymond Denning,50,47,6.00%,,,,
Cairo,Egypt,EMEA,5/5/2015,Coffee grinder,Valerie Pereira,70,48,31.43%,,,,
Dublin,Ireland,EMEA,4/10/2015,Refrigerator,Emma Gibbons,1000,750,25.00%,,,,
Vienna,Austria,EMEA,5/31/2014,Iron,Paul Drage,30,25,16.67%,,,,
Tokyo,Japan,APAC,9/29/2018,Iron,Pauline Taylor,30,27,10.00%,,,,
Kuala Lumpur,Malaysia,APAC,12/16/2018,Oven,Valerie Hook,500,490,2.00%,,,,
Seattle,USA,Americas,1/15/2015,Oven,Lesleyann Pope,500,500,0.00%,,,,
Berlin,Germany,EMEA,7/4/2014,Oven,James Whitehead,500,495,1.00%,,,,
Santiago,Chile,Americas,5/21/2014,Ceiling fan,Bruce McPhee,150,119,20.67%,,,,
London,UK,EMEA,2/14/2014,Microwave,Ian Borowski,80,79,1.25%,,,,
Dubai,UAE,EMEA,11/5/2017,Ceiling fan,Marie Whitfield,150,99,34.00%,,,,
Seattle,USA,Americas,2/14/2016,Dishwasher,Harold Green,500,425,15.00%,,,,
Madria,Spain,EMEA,3/18/2014,Refrigerator,Martin Mishra,1000,810,19.00%,,,,
Jerusalem,Israel,EMEA,6/3/2018,Vacuum Cleaner,David Hubble,250,245,2.00%,,,,
London,UK,EMEA,3/27/2017,Blender,William Cruse,50,50,0.00%,,,,
Rome,Italy,EMEA,6/24/2018,Vacuum Cleaner,Michael Toy,250,235,6.00%,,,,
Jerusalem,Israel,EMEA,11/23/2016,Vacuum Cleaner,Harold Charters,250,240,4.00%,,,,
Santiago,Chile,Americas,7/22/2017,Coffee grinder,Jason Edmund,70,69,1.43%,,,,
Paris,France,EMEA,8/24/2017,Coffee grinder,Melanie Fletcher,70,67,4.29%,,,,
Cairo,Egypt,EMEA,2/24/2017,Toaster,Marek Kwiatkowski,50,49,2.00%,,,,
Athens,Greece,EMEA,9/1/2015,Ceiling fan,David Walker,150,98,34.67%,,,,
Bangalore,India,APAC,9/22/2018,Toaster,Delia Muhammad,50,50,0.00%,,,,
Mexico City,Mexico,Americas,3/14/2015,Oven,Catherine Rahman,500,495,1.00%,,,,
Buenos Aires,Argentina,Americas,12/20/2014,Coffee grinder,Ian Grant,70,54,22.86%,,,,
Los Angeles,USA,Americas,9/30/2018,Dishwasher,Christopher Kitching,500,485,3.00%,,,,
Chicago,USA,Americas,9/18/2014,Microwave,Barry Baldwin,80,78,2.50%,,,,
Tijuana,Mexico,Americas,8/5/2018,Washing Machine,Paul Salmon,800,712,11.00%,,,,
Riyadh,Saudi Arabia,EMEA,11/8/2015,Ceiling fan,Jodie Fairhurst,150,93,38.00%,,,,
Shanghai,China,APAC,10/18/2018,Refrigerator,Michelle Murray,1000,710,29.00%,,,,
Shenzhen,China,APAC,8/9/2018,Oven,Joanne Ripley,500,495,1.00%,,,,
Tijuana,Mexico,Americas,5/28/2017,Oven,Paul Salmon,500,490,2.00%,,,,
Seoul,South Korea,APAC,3/23/2014,Coffee grinder,Martin Birch,70,67,4.29%,,,,
Tokyo,Japan,APAC,10/1/2015,Vacuum Cleaner,Basil Bell,250,235,6.00%,,,,
Tijuana,Mexico,Americas,10/9/2017,Washing Machine,Timothy Younger,800,584,27.00%,,,,
New York,USA,Americas,6/5/2017,Microwave,Richard Nash,80,72,10.00%,,,,
Toronto,Canada,Americas,2/2/2014,Refrigerator,Kyle Anderson,1000,750,25.00%,,,,
Chicago,USA,Americas,10/4/2016,Washing Machine,Paul Collier,800,696,13.00%,,,,
Dubai,UAE,EMEA,4/21/2014,Ceiling fan,Roy Connelly,150,146,2.67%,,,,
Santiago,Chile,Americas,10/11/2015,Blender,Julia Hammond,50,41,18.00%,,,,
Prague,Czech Republic,EMEA,6/22/2017,Oven,Christopher Lloyd,500,495,1.00%,,,,
Tel Aviv,Israel,EMEA,7/23/2017,Toaster,Maureen Reynolds,50,46,8.00%,,,,
Guangzhou,China,APAC,11/24/2015,Microwave,Donald Higgs,80,74,7.50%,,,,
Cairo,Egypt,EMEA,6/6/2014,Coffee grinder,Marek Kwiatkowski,70,59,15.71%,,,,
Riyadh,Saudi Arabia,EMEA,7/30/2017,Coffee grinder,Victoria Sherwin,70,68,2.86%,,,,
Berlin,Germany,EMEA,11/8/2017,Ceiling fan,David Power,150,146,2.67%,,,,
Moscow,Russia,EMEA,9/17/2014,Refrigerator,Rita Hill,1000,630,37.00%,,,,
Buenos Aires,Argentina,Americas,10/18/2018,Toaster,Simon Snape,50,44,12.00%,,,,
Bangkok,Thailand,APAC,12/31/2014,Air conditioner,Martin Gee,700,693,1.00%,,,,
Dublin,Ireland,EMEA,7/21/2017,Air conditioner,Robert Harris,700,637,9.00%,,,,
Lima,Peru,Americas,5/7/2016,Microwave,Claire Storey,80,68,15.00%,,,,
Ho Chi Minh City,Vietnam,APAC,3/16/2014,Iron,Michael Bell,30,26,13.33%,,,,
Chicago,USA,Americas,9/27/2017,Vacuum Cleaner,Robert Polhill,250,240,4.00%,,,,
Bangalore,India,APAC,8/8/2018,Ceiling fan,Delia Muhammad,150,131,12.67%,,,,
Paris,France,EMEA,4/2/2017,Refrigerator,Ryan Goad,1000,820,18.00%,,,,
Santiago,Chile,Americas,8/19/2018,Washing Machine,Karen Hopewell,800,528,34.00%,,,,
Bucharest,Romania,EMEA,7/13/2014,Coffee grinder,Geoffrey Shiner,70,69,1.43%,,,,
Bucharest,Romania,EMEA,6/8/2018,Dishwasher,Thomas Taylor,500,485,3.00%,,,,
Birmingham,UK,EMEA,4/19/2015,Blender,Stephen Muhammad,50,39,22.00%,,,,
Birmingham,UK,EMEA,4/26/2017,Refrigerator,Robert James,1000,830,17.00%,,,,
New York,USA,Americas,9/14/2016,Toaster,Simon Hirst,50,44,12.00%,,,,
London,UK,EMEA,10/28/2014,Oven,Philip Dewar,500,500,0.00%,,,,
Toronto,Canada,Americas,6/29/2015,Toaster,Michael Patel,50,37,26.00%,,,,
San Fransisco,USA,Americas,3/18/2017,Microwave,John Osborne,80,78,2.50%,,,,
Kuala Lumpur,Malaysia,APAC,8/30/2018,Coffee grinder,Ian Baker,70,65,7.14%,,,,
Seattle,USA,Americas,7/25/2014,Vacuum Cleaner,Richard Anderson,250,228,8.80%,,,,
Seoul,South Korea,APAC,12/9/2017,Vacuum Cleaner,James Gahagan,250,250,0.00%,,,,
Bucharest,Romania,EMEA,7/15/2017,Iron,Jacqueline Todd,30,29,3.33%,,,,
Bogota,Columbia,Americas,2/3/2015,Blender,Lisa Manning,50,32,36.00%,,,,
Osaka,Japan,APAC,8/19/2018,Air conditioner,Alice Canning,700,686,2.00%,,,,
Santiago,Chile,Americas,12/24/2016,Ceiling fan,Bruce McPhee,150,131,12.67%,,,,
Chicago,USA,Americas,6/5/2016,Refrigerator,Ronald Bettley,1000,940,6.00%,,,,
Capetown,South Africa,EMEA,6/8/2016,Ceiling fan,Marcus Jacob,150,138,8.00%,,,,
Mexico City,Mexico,Americas,5/19/2014,Blender,Jeremy Morrow,50,44,12.00%,,,,
Cairo,Egypt,EMEA,2/8/2016,Vacuum Cleaner,Valerie Pereira,250,218,12.80%,,,,
Seoul,South Korea,APAC,10/8/2016,Ceiling fan,Mark Brook,150,144,4.00%,,,,
Capetown,South Africa,EMEA,5/4/2018,Refrigerator,Stuart Anderson,1000,890,11.00%,,,,
Toronto,Canada,Americas,7/15/2017,Ceiling fan,Jordan Andrews,150,150,0.00%,,,,
Chicago,USA,Americas,5/11/2014,Vacuum Cleaner,Marie Foster,250,238,4.80%,,,,
Guangzhou,China,APAC,6/6/2016,Blender,Helen Watt,50,49,2.00%,,,,
Tijuana,Mexico,Americas,7/26/2018,Air conditioner,Paul Skiba,700,630,10.00%,,,,
Berlin,Germany,EMEA,5/26/2018,Toaster,John Gunter,50,48,4.00%,,,,
Bucharest,Romania,EMEA,11/25/2015,Dishwasher,Kevin Ross,500,500,0.00%,,,,
Madria,Spain,EMEA,11/1/2017,Iron,Howard Jones,30,29,3.33%,,,,
New York,USA,Americas,10/15/2018,Oven,Ian Coates,500,495,1.00%,,,,
Chicago,USA,Americas,7/21/2016,Ceiling fan,Paul Collier,150,149,0.67%,,,,
Seattle,USA,Americas,11/5/2015,Coffee grinder,Lesleyann Pope,70,54,22.86%,,,,
Bangkok,Thailand,APAC,1/2/2018,Oven,John Jenkins,500,490,2.00%,,,,
Santiago,Chile,Americas,4/2/2015,Blender,Karen Hopewell,50,46,8.00%,,,,
Lima,Peru,Americas,2/3/2017,Washing Machine,Janet Ford,800,600,25.00%,,,,
London,UK,EMEA,11/16/2017,Air conditioner,Francis Godden,700,665,5.00%,,,,
Madria,Spain,EMEA,1/19/2017,Dishwasher,Roy Nunes,500,480,4.00%,,,,
Ho Chi Minh City,Vietnam,APAC,4/29/2016,Washing Machine,Ken Rogerson,800,528,34.00%,,,,
Guangzhou,China,APAC,4/8/2018,Vacuum Cleaner,Wolfgang Carvalho,250,225,10.00%,,,,
San Fransisco,USA,Americas,7/22/2015,Ceiling fan,Gary Acheampong,150,113,24.67%,,,,
Buenos Aires,Argentina,Americas,2/6/2016,Dishwasher,Lisa Wood,500,440,12.00%,,,,
Osaka,Japan,APAC,2/4/2015,Coffee grinder,Peter Walker,70,44,37.14%,,,,
Warsaw,Poland,EMEA,10/16/2014,Vacuum Cleaner,Barbara McDevitt,250,73,70.80%,,,,
Guangzhou,China,APAC,7/17/2015,Toaster,Helen Watt,50,34,32.00%,,,,
Dubai,UAE,EMEA,11/27/2017,Microwave,Nicholas Timbrell,80,78,2.50%,,,,
Bangkok,Thailand,APAC,6/19/2017,Ceiling fan,Stephen Burch,150,149,0.67%,,,,
Seattle,USA,Americas,9/21/2017,Vacuum Cleaner,Kevin Styles,250,250,0.00%,,,,
Capetown,South Africa,EMEA,4/6/2017,Air conditioner,Margaret Philp,700,665,5.00%,,,,
Bogota,Columbia,Americas,1/29/2015,Ceiling fan,David Finnie,150,140,6.67%,,,,
Madria,Spain,EMEA,1/10/2017,Washing Machine,Martin Mishra,800,792,1.00%,,,,
Osaka,Japan,APAC,12/17/2017,Ceiling fan,Alice Canning,150,138,8.00%,,,,
Tel Aviv,Israel,EMEA,11/3/2015,Iron,Steven Green,30,23,23.33%,,,,
Tijuana,Mexico,Americas,12/27/2016,Microwave,Paul Salmon,80,78,2.50%,,,,
Toronto,Canada,Americas,4/21/2016,Toaster,Kyle Anderson,50,49,2.00%,,,,
Dublin,Ireland,EMEA,10/18/2017,Vacuum Cleaner,Robert Harris,250,235,6.00%,,,,
San Fransisco,USA,Americas,7/1/2015,Oven,Shelley Lock,500,490,2.00%,,,,
Dubai,UAE,EMEA,8/2/2014,Air conditioner,Ernie Dyer,700,525,25.00%,,,,
Madria,Spain,EMEA,10/13/2015,Microwave,Howard Jones,80,74,7.50%,,,,
Delhi,India,APAC,8/9/2014,Washing Machine,David Johnson,800,696,13.00%,,,,
Bucharest,Romania,EMEA,2/15/2017,Blender,Constance Tidey,50,50,0.00%,,,,
Cairo,Egypt,EMEA,4/20/2017,Toaster,David Amos,50,50,0.00%,,,,
Berlin,Germany,EMEA,6/27/2016,Vacuum Cleaner,Jacqueline Clamp,250,225,10.00%,,,,
Prague,Czech Republic,EMEA,11/25/2014,Washing Machine,David Stewart,800,760,5.00%,,,,
Osaka,Japan,APAC,6/30/2016,Blender,Tracy Stanley,50,49,2.00%,,,,
Paris,France,EMEA,1/22/2017,Oven,Ryan Goad,500,495,1.00%,,,,
Guangzhou,China,APAC,9/24/2016,Vacuum Cleaner,Mark Searle,250,213,14.80%,,,,
Chicago,USA,Americas,10/19/2016,Air conditioner,Richard Hughes,700,693,1.00%,,,,
Tel Aviv,Israel,EMEA,11/10/2016,Iron,Thomas Gordon,30,28,6.67%,,,,
Vienna,Austria,EMEA,5/10/2015,Air conditioner,Janet Ward,700,518,26.00%,,,,
Lima,Peru,Americas,6/1/2018,Oven,William Lant,500,495,1.00%,,,,
Mexico City,Mexico,Americas,5/14/2015,Iron,Brendon Dyer,30,21,30.00%,,,,
Kansas City,USA,Americas,9/15/2017,Refrigerator,Robert Arnold,1000,700,30.00%,,,,
Kuala Lumpur,Malaysia,APAC,4/21/2015,Toaster,Rachel Oliver,50,32,36.00%,,,,
Athens,Greece,EMEA,10/7/2015,Washing Machine,Aidan Perrott,800,632,21.00%,,,,
New York,USA,Americas,12/19/2018,Dishwasher,Matthew Crowe,500,450,10.00%,,,,
Sao Paolo,Brazil,Americas,8/17/2016,Toaster,Elizabeth Holloway,50,49,2.00%,,,,
Buenos Aires,Argentina,Americas,6/24/2015,Washing Machine,Roy Cooper,800,456,43.00%,,,,
Cairo,Egypt,EMEA,1/1/2015,Blender,Marek Kwiatkowski,50,31,38.00%,,,,
Seattle,USA,Americas,12/29/2014,Microwave,Lesleyann Pope,80,69,13.75%,,,,
Amsterdam,Netherlands,EMEA,11/17/2016,Microwave,Donald Barratt,80,70,12.50%,,,,
Istanbul,Turkey,EMEA,1/17/2017,Vacuum Cleaner,Chloe Lyons,250,240,4.00%,,,,
Seattle,USA,Americas,6/23/2016,Ceiling fan,Kevin Styles,150,132,12.00%,,,,
Capetown,South Africa,EMEA,10/5/2016,Iron,Nicholas Holloway,30,27,10.00%,,,,
Dublin,Ireland,EMEA,7/10/2015,Washing Machine,Emma Gibbons,800,624,22.00%,,,,
Los Angeles,USA,Americas,7/19/2014,Coffee grinder,Anthony Procter,70,52,25.71%,,,,
Seoul,South Korea,APAC,11/22/2017,Microwave,Steven Wood,80,77,3.75%,,,,
Lima,Peru,Americas,9/25/2017,Iron,Janet Ford,30,27,10.00%,,,,
Rome,Italy,EMEA,11/1/2017,Toaster,Golam Reid,50,47,6.00%,,,,
Dubai,UAE,EMEA,6/7/2017,Dishwasher,Marie Whitfield,500,265,47.00%,,,,
Kuala Lumpur,Malaysia,APAC,10/16/2016,Iron,Stephen MacGregor,30,28,6.67%,,,,
Tijuana,Mexico,Americas,7/16/2014,Vacuum Cleaner,Richard Foy,250,240,4.00%,,,,
Buenos Aires,Argentina,Americas,12/11/2018,Toaster,Ian Grant,50,45,10.00%,,,,
Tijuana,Mexico,Americas,9/1/2015,Oven,Richard Foy,500,490,2.00%,,,,
Los Angeles,USA,Americas,5/31/2017,Iron,Paul Hirst,30,29,3.33%,,,,
Paris,France,EMEA,6/16/2017,Blender,Philip Tubbs,50,49,2.00%,,,,
Moscow,Russia,EMEA,7/13/2014,Air conditioner,Alexander Hillier,700,665,5.00%,,,,
Bucharest,Romania,EMEA,8/13/2014,Washing Machine,Alan Grant,800,720,10.00%,,,,
